,times
0,0.46875
1,0.505208333333333
2,0.49062500000000053
3,0.49270833333333375
4,0.5281250000000002
5,0.4979166666666668
6,0.5010416666666666
7,0.5093749999999995
8,0.5062499999999996
9,0.49166666666666714
10,0.4875000000000007
11,0.484375
12,0.5083333333333346
13,0.4812499999999993
14,0.5010416666666675
15,0.49062499999999964
16,0.5072916666666671
17,0.47708333333333286
18,0.5135416666666668
19,0.5104166666666679
20,0.4875000000000007
21,0.5239583333333346
22,0.5114583333333336
23,0.4812499999999993
24,0.513541666666665
25,0.5072916666666671
26,0.5062500000000014
27,0.5229166666666671
28,0.5
29,0.486458333333335
30,0.49166666666666714
31,0.5229166666666663
32,0.46145833333333286
33,0.4541666666666666
34,0.5020833333333332
35,0.4677083333333334
36,0.49479166666666696
37,0.46458333333333357
38,0.5385416666666671
39,0.5145833333333343
40,0.5093750000000004
41,0.4677083333333325
42,0.5083333333333329
43,0.47708333333333464
44,0.5218749999999996
45,0.5135416666666668
46,0.5052083333333339
47,0.4697916666666657
48,0.49583333333333357
49,0.4822916666666668
50,0.49375000000000036
51,0.5489583333333332
52,0.497916666666665
53,0.5114583333333336
54,0.5114583333333336
55,0.5052083333333321
56,0.5041666666666664
57,0.44895833333333
58,0.5208333333333357
59,0.5
60,0.5
61,0.484375
62,0.5072916666666671
63,0.4552083333333332
64,0.4635416666666661
65,0.5010416666666666
66,0.49062499999999964
67,0.5166666666666666
68,0.5114583333333336
69,0.5166666666666657
70,0.4593750000000014
71,0.49479166666666785
72,0.5208333333333339
73,0.5072916666666671
74,0.53125
75,0.4947916666666661
76,0.5052083333333339
77,0.4854166666666657
78,0.48020833333333357
79,0.5177083333333332
80,0.5041666666666664
81,0.5145833333333325
82,0.4739583333333339
83,0.5
84,0.5187500000000007
85,0.4937499999999986
86,0.4833333333333343
87,0.529166666666665
88,0.482291666666665
89,0.48020833333333
90,0.5083333333333329
91,0.5197916666666664
92,0.47395833333333215
93,0.4552083333333332
94,0.4979166666666668
95,0.5104166666666661
96,0.5239583333333337
97,0.53125
98,0.5010416666666666
99,0.4968750000000002
100,0.5156250000000009
101,0.49375000000000036
102,0.4812499999999993
103,0.5062499999999996
104,0.5093750000000004
105,0.46041666666666714
106,0.4947916666666661
107,0.5145833333333343
108,0.5166666666666657
109,0.5093749999999986
110,0.5177083333333332
111,0.48020833333333357
112,0.4697916666666657
113,0.515625
114,0.5041666666666682
115,0.5322916666666675
116,0.49791666666666856
117,0.4812499999999993
118,0.47916666666666785
119,0.47916666666666785
120,0.5
121,0.5343750000000007
122,0.48020833333333357
123,0.5614583333333343
