,times
0,0.4812500000000002
1,0.49166666666666625
2,0.5114583333333336
3,0.4989583333333334
4,0.47812500000000036
5,0.49062500000000053
6,0.49270833333333375
7,0.5072916666666671
8,0.4864583333333332
9,0.47604166666666714
10,0.5135416666666668
11,0.5041666666666664
12,0.49270833333333286
13,0.5072916666666671
14,0.5218749999999996
15,0.4947916666666661
16,0.49062499999999964
17,0.53125
18,0.4875000000000007
19,0.5052083333333321
20,0.47604166666666714
21,0.4968749999999993
22,0.4864583333333332
23,0.4979166666666668
24,0.5458333333333307
25,0.49166666666666714
26,0.5197916666666664
27,0.484375
28,0.470833333333335
29,0.5229166666666671
30,0.47395833333333215
31,0.4510416666666668
32,0.49479166666666696
33,0.48854166666666643
34,0.4979166666666668
35,0.5
36,0.4979166666666668
37,0.5041666666666664
38,0.5062500000000005
39,0.4989583333333343
40,0.4541666666666675
41,0.5114583333333336
42,0.4979166666666668
43,0.5125000000000011
44,0.4947916666666661
45,0.4854166666666657
46,0.4781249999999986
47,0.5229166666666671
48,0.49687500000000107
49,0.5124999999999993
50,0.5187500000000007
51,0.4729166666666682
52,0.5083333333333329
53,0.4812499999999993
54,0.5020833333333332
55,0.4875000000000007
56,0.5093749999999986
57,0.5031250000000007
58,0.4906250000000014
59,0.48229166666666856
60,0.5041666666666664
61,0.5322916666666657
62,0.47291666666666643
63,0.5083333333333337
64,0.5364583333333339
65,0.49375000000000036
66,0.5125000000000002
67,0.4708333333333332
68,0.49479166666666696
69,0.5083333333333337
70,0.5020833333333332
71,0.4979166666666668
72,0.5250000000000004
73,0.48020833333333357
74,0.47708333333333286
75,0.49583333333333357
76,0.5083333333333329
77,0.5208333333333339
78,0.5083333333333329
79,0.49375000000000036
80,0.4864583333333332
81,0.5010416666666675
82,0.5020833333333332
83,0.5072916666666654
84,0.5010416666666657
85,0.4854166666666657
86,0.5
87,0.4937499999999986
88,0.4875000000000007
89,0.5250000000000021
90,0.5114583333333336
91,0.49895833333333073
92,0.4854166666666657
93,0.46249999999999947
94,0.47916666666666696
95,0.4520833333333334
96,0.5
97,0.5270833333333327
98,0.53125
99,0.505208333333333
100,0.5041666666666664
101,0.53125
102,0.4791666666666661
103,0.4697916666666675
104,0.5072916666666671
105,0.49062499999999964
106,0.5041666666666664
107,0.5197916666666664
108,0.4822916666666668
109,0.5020833333333332
110,0.5041666666666664
111,0.4677083333333343
112,0.5177083333333332
113,0.49166666666666714
114,0.5239583333333329
115,0.49166666666666536
116,0.47916666666666785
117,0.49062499999999964
118,0.47812500000000213
119,0.5375000000000014
120,0.4593750000000014
121,0.5041666666666664
122,0.5447916666666686
123,0.4875000000000007
