,times
0,0.4395833333333332
1,0.49062500000000053
2,0.5270833333333336
3,0.5322916666666666
4,0.4947916666666661
5,0.5041666666666673
6,0.42812499999999964
7,0.5031249999999998
8,0.5354166666666673
9,0.5416666666666661
10,0.44895833333333357
11,0.513541666666665
12,0.44062499999999893
13,0.5187500000000007
14,0.5260416666666679
15,0.49583333333333357
16,0.5447916666666668
17,0.4947916666666661
18,0.4854166666666657
19,0.46145833333333286
20,0.5145833333333343
21,0.46458333333333357
22,0.5333333333333332
23,0.5187499999999989
24,0.49270833333333286
25,0.48020833333333357
26,0.5333333333333314
27,0.46458333333333357
28,0.5500000000000007
29,0.48958333333333215
30,0.45833333333333215
31,0.4552083333333341
32,0.5020833333333332
33,0.49270833333333375
34,0.5
35,0.5562500000000004
36,0.4093749999999998
37,0.484375
38,0.5437500000000002
39,0.4854166666666675
40,0.5229166666666671
41,0.5666666666666664
42,0.48854166666666643
43,0.49270833333333464
44,0.4666666666666668
45,0.4552083333333332
46,0.984375
47,0.5385416666666671
48,0.4968749999999993
49,0.49166666666666714
50,0.5104166666666679
51,0.49375000000000036
52,0.5374999999999996
53,0.5291666666666668
54,0.4375
55,0.4406250000000007
56,0.49166666666666714
57,0.5072916666666671
58,0.580208333333335
59,0.47812500000000213
60,0.49583333333333357
61,0.47291666666666643
62,0.5
63,0.46354166666666696
64,0.5239583333333337
65,0.47604166666666625
66,0.4812500000000002
67,0.5208333333333339
68,0.5208333333333339
69,0.44479166666666714
70,0.4989583333333325
71,0.49166666666666536
72,0.5020833333333332
73,0.5104166666666679
74,0.5062500000000014
75,0.5031249999999989
76,0.49583333333333357
77,0.49375000000000036
78,0.5239583333333346
79,0.4864583333333332
80,0.5020833333333332
81,0.4104166666666682
82,0.5479166666666657
83,0.5197916666666664
84,0.5500000000000007
85,0.5166666666666675
86,0.4968749999999993
87,0.49270833333333286
88,0.45833333333333215
89,0.47708333333333286
90,0.46875
91,0.5052083333333321
92,0.4677083333333334
93,0.4541666666666666
94,0.4968750000000002
95,0.4802083333333327
96,0.5125000000000002
97,0.49375000000000036
98,0.5010416666666666
99,0.4854166666666666
100,0.5270833333333318
101,0.53125
102,0.513541666666665
103,0.4958333333333318
104,0.5166666666666657
105,0.47812500000000036
106,0.4864583333333332
107,0.4989583333333325
108,0.4947916666666661
109,0.4541666666666657
110,0.4656249999999993
111,0.4697916666666675
112,0.49270833333333286
113,0.5239583333333346
114,0.4822916666666668
115,0.53125
116,0.5270833333333318
117,0.5281250000000028
118,0.5124999999999993
119,0.49583333333333357
120,0.5010416666666693
121,0.5093749999999986
122,0.49062499999999787
