,times
0,0.4093749999999998
1,0.4562499999999998
2,0.5479166666666666
3,0.5239583333333337
4,0.47499999999999964
5,0.5333333333333332
6,0.4791666666666661
7,0.4541666666666666
8,0.5281250000000002
9,0.5322916666666657
10,0.4677083333333343
11,0.5072916666666671
12,0.5062500000000014
13,0.49062499999999964
14,0.5250000000000004
15,0.4979166666666668
16,0.4708333333333332
17,0.5343750000000007
18,0.5093750000000004
19,0.484375
20,0.4822916666666668
21,0.5104166666666679
22,0.4895833333333339
23,0.5322916666666657
24,0.5125000000000028
25,0.4718750000000007
26,0.5010416666666693
27,0.48020833333333357
28,0.5302083333333343
29,0.47916666666666785
30,0.5093749999999986
31,0.45729166666666643
32,0.484375
33,0.4677083333333334
34,0.5291666666666668
35,0.5072916666666671
36,0.49270833333333286
37,0.5041666666666664
38,0.5187500000000007
39,0.53125
40,0.4427083333333339
41,0.5197916666666664
42,0.47708333333333286
43,0.5322916666666675
44,0.5375000000000014
45,0.44583333333333464
46,0.47395833333333215
47,0.5124999999999993
48,0.4854166666666675
49,0.5489583333333332
50,0.4979166666666668
51,0.4656249999999993
52,0.5374999999999996
53,0.421875
54,0.5364583333333321
55,0.5072916666666689
56,0.5354166666666664
57,0.4520833333333343
58,0.5145833333333343
59,0.45729166666666643
60,0.5406250000000021
61,0.48645833333333144
62,0.4791666666666665
63,0.5145833333333334
64,0.5552083333333337
65,0.49374999999999947
66,0.4854166666666666
67,0.4677083333333334
68,0.5239583333333337
69,0.4562499999999998
70,0.5281249999999984
71,0.5041666666666664
72,0.5447916666666668
73,0.421875
74,0.5083333333333329
75,0.5041666666666664
76,0.5135416666666668
77,0.5218750000000014
78,0.5104166666666679
79,0.49583333333333357
80,0.4666666666666668
81,0.5072916666666671
82,0.4833333333333343
83,0.5333333333333332
84,0.453125
85,0.5677083333333321
86,0.4520833333333343
87,0.5052083333333321
88,0.5093750000000021
89,0.5208333333333321
90,0.5197916666666664
91,0.49270833333333286
92,0.46041666666666714
93,0.48229166666666634
94,0.5072916666666671
95,0.4718749999999998
96,0.5010416666666666
97,0.5291666666666668
98,0.4979166666666668
99,0.4989583333333334
100,0.5020833333333332
101,0.47708333333333375
102,0.5260416666666679
103,0.4541666666666657
104,0.5250000000000004
105,0.5010416666666657
106,0.5093750000000004
107,0.47812500000000036
108,0.5125000000000011
109,0.4822916666666668
110,0.5041666666666664
111,0.5083333333333329
112,0.5364583333333321
113,0.42916666666666714
114,0.5510416666666664
115,0.4656249999999993
116,0.546875
117,0.45000000000000107
118,0.5458333333333343
119,0.5343750000000007
120,0.4593750000000014
121,0.4791666666666643
122,0.5249999999999986
123,0.4812499999999993
