,times
0,0.3937500000000007
1,0.44583333333333286
2,0.49062499999999964
3,0.4822916666666659
4,0.47604166666666625
5,0.4958333333333327
6,0.5041666666666673
7,0.5052083333333339
8,0.5093750000000004
9,0.49270833333333286
10,0.49062499999999964
11,0.4708333333333332
12,0.5145833333333343
13,0.5281250000000011
14,0.5343750000000007
15,0.4833333333333325
16,0.5343750000000007
17,0.4624999999999986
18,0.5145833333333325
19,0.46250000000000036
20,0.5354166666666664
21,0.5187500000000007
22,0.46145833333333286
23,0.5333333333333332
24,0.5083333333333346
25,0.4697916666666657
26,0.5114583333333336
27,0.5010416666666657
28,0.4947916666666643
29,0.470833333333335
30,0.5104166666666679
31,0.4406249999999998
32,0.48854166666666643
33,0.4812500000000002
34,0.5229166666666663
35,0.4989583333333334
36,0.510416666666667
37,0.5385416666666663
38,0.4708333333333332
39,0.49062499999999964
40,0.4822916666666668
41,0.5229166666666671
42,0.47708333333333286
43,0.5395833333333329
44,0.5166666666666657
45,0.484375
46,0.4572916666666682
47,0.5
48,0.5052083333333339
49,0.5062500000000014
50,0.5364583333333321
51,0.5072916666666654
52,0.49583333333333357
53,0.46145833333333464
54,0.5052083333333321
55,0.5020833333333314
56,0.5229166666666671
57,0.4989583333333343
58,0.5041666666666664
59,0.48333333333333073
60,0.5166666666666693
61,0.48229166666666856
62,0.49791666666666723
63,0.5166666666666666
64,0.484375
65,0.5531250000000005
66,0.4489583333333327
67,0.5
68,0.6385416666666668
69,0.46041666666666714
70,0.5020833333333332
71,0.5177083333333332
72,0.5093750000000004
73,0.4989583333333325
74,0.5093749999999986
75,0.5010416666666675
76,0.4781249999999986
77,0.49375000000000036
78,0.5135416666666668
79,0.5197916666666664
80,0.5083333333333329
81,0.5031249999999989
82,0.47395833333333215
83,0.5062499999999996
84,0.47812500000000036
85,0.5375000000000014
86,0.453125
87,0.47916666666666785
88,0.4989583333333343
89,0.4947916666666643
90,0.497916666666665
91,0.486458333333335
92,0.5104166666666679
93,0.5447916666666663
94,0.5093749999999995
95,0.4812500000000002
96,0.49166666666666714
97,0.5333333333333332
98,0.4864583333333332
99,0.5093749999999995
100,0.5072916666666663
101,0.4854166666666666
102,0.48854166666666643
103,0.5250000000000004
104,0.482291666666665
105,0.5
106,0.5010416666666657
107,0.4864583333333332
108,0.4677083333333343
109,0.49583333333333357
110,0.5229166666666654
111,0.5031249999999989
112,0.5114583333333336
113,0.47395833333333215
114,0.5239583333333346
115,0.4739583333333339
116,0.5145833333333343
117,0.5166666666666675
118,0.5135416666666686
119,0.4875000000000007
120,0.4854166666666657
121,0.5010416666666693
122,0.5166666666666693
123,0.49791666666666856
124,0.46979166666666927
