,times
0,0.4395833333333332
1,0.4968750000000002
2,0.49583333333333357
3,0.48020833333333357
4,0.49270833333333286
5,0.48958333333333304
6,0.5447916666666668
7,0.4822916666666668
8,0.502083333333335
9,0.4947916666666661
10,0.49062499999999964
11,0.49583333333333357
12,0.5260416666666661
13,0.5
14,0.5
15,0.4989583333333325
16,0.4968749999999993
17,0.5031250000000007
18,0.46041666666666714
19,0.5302083333333325
20,0.5020833333333332
21,0.5083333333333329
22,0.4864583333333332
23,0.5427083333333336
24,0.46354166666666785
25,0.5249999999999986
26,0.48854166666666643
27,0.5385416666666671
28,0.484375
29,0.497916666666665
30,0.44895833333333357
31,0.4833333333333334
32,0.515625
33,0.49270833333333286
34,0.5250000000000004
35,0.48020833333333357
36,0.5
37,0.5145833333333334
38,0.49375000000000036
39,0.4697916666666657
40,0.53125
41,0.47812500000000036
42,0.5083333333333329
43,0.49270833333333464
44,0.48854166666666643
45,0.5218749999999996
46,0.49687500000000107
47,0.46145833333333286
48,0.4979166666666668
49,0.5197916666666664
50,0.4875000000000007
51,0.49062499999999964
52,0.5572916666666661
53,0.48020833333333357
54,0.49270833333333464
55,0.5270833333333336
56,0.5010416666666657
57,0.49479166666666785
58,0.5218749999999979
59,0.5354166666666664
60,0.435416666666665
61,0.466666666666665
62,0.43020833333333286
63,0.48958333333333304
64,0.5114583333333336
65,0.5197916666666664
66,0.4666666666666668
67,0.5020833333333332
68,0.5
69,0.5114583333333327
70,0.5041666666666655
71,0.734375
72,0.3177083333333339
73,0.44687500000000036
74,0.4989583333333325
75,0.5489583333333332
76,0.49166666666666714
77,0.5281250000000011
78,0.5093750000000004
79,0.4989583333333343
80,0.4864583333333332
81,0.47187499999999893
82,0.47708333333333464
83,0.5229166666666671
84,0.5145833333333343
85,0.49166666666666536
86,0.5104166666666696
87,0.5229166666666636
88,0.4718750000000007
89,0.5145833333333343
90,0.4739583333333357
91,0.5052083333333321
92,0.5114583333333336
93,0.4552083333333332
94,0.4552083333333332
95,0.48020833333333357
96,0.5239583333333329
97,0.4718749999999998
98,0.5166666666666666
99,0.5354166666666673
100,0.4968750000000002
101,0.4833333333333343
102,0.4708333333333332
103,0.4510416666666668
104,0.515625
105,0.4854166666666657
106,0.4979166666666668
107,0.5187499999999989
108,0.5010416666666657
109,0.5374999999999996
110,0.4864583333333332
111,0.4979166666666668
112,0.5166666666666675
113,0.5104166666666661
114,0.5104166666666661
115,0.4854166666666657
116,0.4833333333333343
117,0.5177083333333332
118,0.5135416666666686
119,0.5270833333333336
120,0.47291666666666643
121,0.49583333333333357
122,0.4677083333333343
123,0.486458333333335
