,times
0,0.4989583333333334
1,0.505208333333333
2,0.4791666666666661
3,0.5020833333333332
4,0.5083333333333337
5,0.4812499999999993
6,0.515625
7,0.49375000000000036
8,0.4937499999999986
9,0.5416666666666679
10,0.4427083333333339
11,0.5249999999999986
12,0.5010416666666675
13,0.49583333333333357
14,0.5260416666666679
15,0.47187499999999893
16,0.5364583333333321
17,0.4385416666666675
18,0.5364583333333339
19,0.47499999999999964
20,0.5145833333333325
21,0.5062499999999996
22,0.5385416666666671
23,0.4375
24,0.5406249999999986
25,0.470833333333335
26,0.5281249999999993
27,0.4739583333333357
28,0.546875
29,0.4583333333333357
30,0.5218749999999979
31,0.464583333333334
32,0.5020833333333332
33,0.4979166666666668
34,0.49374999999999947
35,0.5
36,0.4854166666666666
37,0.5229166666666671
38,0.5041666666666664
39,0.5124999999999993
40,0.4968749999999993
41,0.4864583333333332
42,0.5020833333333332
43,0.49375000000000036
44,0.4968749999999993
45,0.4947916666666661
46,0.4822916666666668
47,0.5260416666666679
48,0.5166666666666675
49,0.4906250000000014
50,0.5114583333333336
51,0.5
52,0.49375000000000036
53,0.5020833333333332
54,0.5260416666666661
55,0.5052083333333339
56,0.48854166666666643
57,0.5124999999999993
58,0.5031250000000007
59,0.4927083333333364
60,0.46875
61,0.5093750000000021
62,0.4489583333333331
63,0.49270833333333375
64,0.5072916666666671
65,0.5145833333333334
66,0.4822916666666668
67,0.5114583333333336
68,0.5083333333333329
69,0.515625
70,0.4947916666666661
71,0.47187499999999893
72,0.5437500000000011
73,0.48854166666666643
74,0.49166666666666714
75,0.515625
76,0.5020833333333332
77,0.4833333333333325
78,0.4947916666666661
79,0.5052083333333339
80,0.5166666666666657
81,0.49062499999999964
82,0.5166666666666657
83,0.49270833333333286
84,0.4854166666666657
85,0.5197916666666664
86,0.48854166666666465
87,0.47395833333333215
88,0.5187500000000007
89,0.4968749999999993
90,0.5104166666666679
91,0.5031250000000007
92,0.5135416666666686
93,0.46354166666666696
94,0.47708333333333286
95,0.5010416666666666
96,0.49270833333333375
97,0.5218749999999996
98,0.5
99,0.5177083333333341
100,0.4979166666666668
101,0.4624999999999986
102,0.5135416666666668
103,0.5052083333333339
104,0.5052083333333339
105,0.48854166666666643
106,0.4989583333333343
107,0.46354166666666785
108,0.5395833333333346
109,0.47812500000000036
110,0.5250000000000004
111,0.4854166666666657
112,0.5020833333333332
113,0.5124999999999993
114,0.5260416666666661
115,0.49062499999999964
116,0.5031250000000007
117,0.5302083333333325
118,0.48020833333333357
119,0.48854166666666643
120,0.46770833333333073
121,0.5114583333333336
122,0.48645833333333144
123,0.5104166666666643
